epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,18607.5,0.63076,0.30277,0.83064,1,0.99985,0.995,0.89898,0.5334,0.26022,0.80482,0.0011684,0.0011684,0.0011684
44,19055.4,0.63212,0.30335,0.83454,1,0.99986,0.995,0.89756,0.53101,0.23633,0.80294,0.0011486,0.0011486,0.0011486
45,19497.6,0.64791,0.30761,0.83475,0.99976,0.99778,0.995,0.9001,0.53578,0.25102,0.80819,0.0011288,0.0011288,0.0011288
46,19942.6,0.62953,0.30144,0.83188,0.99976,0.99778,0.995,0.88152,0.56837,0.26355,0.81429,0.001109,0.001109,0.001109
47,20385.9,0.62737,0.2981,0.83005,1,0.9999,0.995,0.90017,0.52628,0.26558,0.80201,0.0010892,0.0010892,0.0010892
48,20828.1,0.62407,0.29371,0.83164,0.99969,0.99778,0.995,0.91711,0.46814,0.23738,0.79459,0.0010694,0.0010694,0.0010694
49,21266.2,0.64328,0.30186,0.83008,0.99993,1,0.995,0.90613,0.50921,0.2363,0.80273,0.0010496,0.0010496,0.0010496
50,21704.5,0.61955,0.29832,0.82865,0.99979,0.99778,0.995,0.90207,0.52393,0.25169,0.80661,0.0010298,0.0010298,0.0010298
51,22146.6,0.64032,0.29601,0.82874,0.99988,0.99778,0.995,0.90991,0.5132,0.25721,0.80039,0.00101,0.00101,0.00101
52,22588.5,0.61235,0.2887,0.82454,1,0.9998,0.995,0.90553,0.49923,0.23235,0.80206,0.0009902,0.0009902,0.0009902
